VICTIM AGE DISTRIBUTION,,
19-Oct,59727,29698
19-Nov,55717,27136
19-Dec,115991,58995
20-Jan,58193,29609
20-Feb,53112,26986
20-Mar,61058,30150
20-Apr,59575,29191
20-May,74082,34019
20-Jun,77949,32674
20-Jul,80963,35154
20-Aug,80646,35124
20-Sep,72190,32147
20-Oct,73517,31683
20-Nov,65920,27913
20-Dec,127423,61232
21-Jan,48738,21437
21-Feb,42400,19710
21-Mar,49861,22982
21-Apr,54045,23481
21-May,61576,26071
21-Jun,60144,26222
21-Jul,63398,26699
21-Aug,60473,26175
21-Sep,57153,24512
21-Oct,59146,25096
21-Nov,51786,22288
21-Dec,53533,22930
22-Jan,64066,27320
22-Feb,60119,26150
22-Mar,72078,31359
22-Apr,73302,30630
22-May,80782,33653
22-Jun,77683,33255
22-Jul,81561,34276
22-Aug,77391,34284
22-Sep,74726,32218
22-Oct,74063,31190
22-Nov,65054,28296
22-Dec,85536,28678
23-Jan,70363,32156
23-Feb,60250,28838
23-Mar,68833,33249
23-Apr,72953,33394
23-May,79308,36432
23-Jun,75629,35080
23-Jul,80058,36836
23-Aug,75785,36632
23-Sep,73144,34560
23-Oct,76242,34979
23-Nov,65001,31553
23-Dec,76613,31909
24-Jan,62189,32088
24-Feb,61187,31926
24-Mar,68335,34795
24-Apr,70309,34950
24-May,78461,38060
24-Jun,77006,36222
24-Jul,76978,37872
24-Aug,74150,36208
24-Sep,72470,34901
24-Oct,70047,34930
24-Nov,62520,31383
24-Dec,69600,30853
25-Jan,53956,28652
25-Feb,49063,26533
25-Mar,59026,30562
25-Apr,59002,30760
25-May,60660,31381
25-Jun,57273,28862
25-Jul,51775,27550
25-Aug,30121,15625
25-Sep,2839,1585
